embryos	juveniles	adults	juv&adults
48	146	153	299
44	143	154	297
43	141	155	296
41	139	154	293
39	138	153	291
38	135	152	287
37	134	151	285
39	134	149	283
41	132	151	283
45	128	151	279
43	123	152	275
43	119	152	271
42	116	151	267
45	114	149	263
46	113	148	261
46	110	149	259
45	108	147	255
45	105	149	254
45	104	146	250
44	103	146	249
48	98	147	245
49	98	147	245
53	100	147	247
57	99	147	246
60	96	148	244
59	94	148	242
59	91	147	238
63	88	148	236
66	84	148	232
70	82	150	232
68	81	145	226
66	76	144	220
67	77	143	220
71	74	144	218
77	75	144	219
86	75	143	218
90	75	141	216
90	73	140	213
90	71	142	213
90	69	144	213
91	70	142	212
90	70	141	211
90	70	141	211
88	69	139	208
97	68	139	207
96	66	139	205
96	65	136	201
96	63	138	201
98	64	137	201
99	63	137	200
97	64	136	200
94	64	132	196
96	62	131	193
96	62	130	192
95	62	128	190
100	62	128	190
105	61	127	188
108	61	127	188
111	61	125	186
110	59	127	186
112	61	128	189
110	61	127	188
111	62	125	187
110	63	123	186
109	63	120	183
116	62	119	181
124	62	121	183
128	62	119	181
133	62	116	178
130	59	118	177
129	60	117	177
128	59	116	175
132	60	118	178
134	60	118	178
132	61	116	177
136	69	114	183
138	71	116	187
140	71	118	189
141	75	116	191
145	78	115	193
143	78	115	193
143	81	115	196
146	81	116	197
149	79	117	196
153	75	120	195
156	76	119	195
160	77	116	193
160	75	117	192
160	74	118	192
160	74	118	192
164	72	121	193
160	73	118	191
168	72	116	188
183	73	116	189
183	75	115	190
175	74	116	190
178	75	117	192
168	79	113	192
167	80	112	192
180	86	111	197
190	91	108	199
204	97	108	205
201	100	106	206
183	99	101	200
165	96	95	191
154	98	93	191
154	100	91	191
148	103	90	193
149	106	90	196
145	107	91	198
149	107	91	198
153	106	94	200
157	109	94	203
158	113	96	209
151	122	93	215
164	131	93	224
175	140	92	232
177	144	92	236
184	146	93	239
194	149	92	241
193	149	92	241
201	148	92	240
202	149	95	244
210	146	95	241
222	150	96	246
220	149	95	244
216	147	96	243
213	149	98	247
190	153	93	246
183	154	93	247
179	159	95	254
227	161	97	258
248	161	99	260
251	159	101	260
245	156	102	258
182	159	90	249
179	161	91	252
173	164	92	256
177	167	94	261
172	166	96	262
153	181	97	278
143	189	96	285
146	194	96	290
161	206	96	302
222	206	100	306
220	209	99	308
219	209	99	308
223	207	101	308
262	208	104	312
281	212	105	317
307	215	112	327
312	217	120	337
343	210	130	340
400	205	138	343
402	199	142	341
357	193	139	332
320	195	144	339
296	217	147	364
260	256	145	401
263	290	147	437
439	309	152	461
536	318	150	468
557	320	151	471
573	319	155	474
595	314	152	466
590	308	155	463
625	302	154	456
612	298	154	452
605	298	160	458
605	295	167	462
640	290	173	463
684	282	177	459
716	272	188	460
729	266	195	461
717	270	195	465
643	304	191	495
601	348	189	537
605	400	189	589
595	443	189	632
633	478	187	665
677	513	187	700
767	536	179	715
859	554	174	728
913	564	174	738
920	573	176	749
961	576	173	749
953	579	176	755
984	577	180	757
988	572	192	764
995	570	204	774
977	574	210	784
972	571	214	785
1034	568	218	786
1094	599	225	824
1048	640	228	868
1031	697	236	933
713	751	222	973
534	801	190	991
466	832	198	1030
424	840	203	1043
434	854	205	1059
