embryos	juveniles	adults	juv&adults
47	292	214	506
46	283	216	499
40	283	214	497
44	281	215	496
47	276	217	493
41	268	222	490
40	263	221	484
35	257	217	474
33	247	218	465
30	245	218	463
30	240	218	458
30	231	223	454
60	223	222	445
141	220	219	439
178	210	223	433
200	204	228	432
199	200	229	429
196	196	230	426
196	194	229	423
204	191	227	418
201	181	231	412
201	173	230	403
205	168	230	398
213	161	226	387
219	157	229	386
219	153	229	382
219	143	231	374
215	141	227	368
213	138	227	365
212	135	225	360
209	134	222	356
200	130	220	350
198	126	219	345
196	125	218	343
195	122	219	341
193	122	218	340
193	121	219	340
194	119	218	337
192	115	218	333
190	112	218	330
185	112	214	326
181	114	216	330
168	119	214	333
154	130	212	342
146	137	211	348
105	140	191	331
69	143	178	321
65	144	178	322
48	152	175	327
41	153	178	331
34	157	177	334
31	156	177	333
106	153	177	330
129	151	178	329
137	147	182	329
137	143	183	326
138	140	183	323
130	133	183	316
128	128	185	313
131	125	187	312
136	123	188	311
136	118	191	309
131	116	187	303
126	112	188	300
123	107	193	300
126	106	194	300
125	105	193	298
125	102	193	295
120	99	192	291
118	91	196	287
117	87	195	282
92	83	184	267
90	84	183	267
90	83	181	264
89	79	182	261
87	79	179	258
86	79	174	253
86	78	172	250
89	72	174	246
98	69	173	242
102	69	174	243
102	67	176	243
102	66	175	241
98	69	173	242
98	68	172	240
93	71	168	239
89	72	168	240
82	77	167	244
74	84	165	249
71	84	164	248
70	85	164	249
68	87	163	250
60	94	163	257
59	93	161	254
54	96	159	255
55	97	155	252
77	101	155	256
87	103	152	255
92	101	151	252
89	101	148	249
89	99	147	246
105	98	146	244
107	99	145	244
112	99	144	243
117	99	144	243
120	97	142	239
115	98	139	237
117	97	139	236
117	94	138	232
117	92	138	230
119	91	137	228
118	89	136	225
115	89	133	222
112	89	132	221
125	89	132	221
126	90	131	221
124	90	129	219
128	89	129	218
127	89	128	217
123	86	128	214
127	81	131	212
127	79	133	212
127	79	133	212
132	74	136	210
124	73	136	209
124	72	137	209
125	69	140	209
128	71	142	213
130	74	140	214
134	73	140	213
143	73	140	213
143	71	139	210
143	68	141	209
143	66	141	207
143	61	142	203
142	60	141	201
146	60	140	200
148	60	136	196
146	62	136	198
141	64	134	198
143	65	133	198
141	69	132	201
140	71	132	203
